annee,canton,Total,Constructions,Amélio-,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere
1994,Appenzell Rh.-Ext.,31374.0,0,16298,-46,2796,7706,1705.0,2915
1994,Appenzell Rh.-Int.,4206.0,488,931,0,265,1107,887.0,527
1994,Argovie,100621.0,15640,45561,4110,7290,19403,3700.0,4917
1994,Berne,169980.0,3880,51216,0,34188,48319,1722.0,30654
1994,Bâle-Campagne,88815.0,187,45672,382,11671,16913,3351.0,10638
1994,Bâle-Ville,99176.0,252,35097,587,8493,40729,1933.0,12086
1994,Espace Mittelland,392484.0,83318,90135,4942,44935,97121,14916.0,57115
1994,Fribourg,50551.0,5560,12256,643,3347,13449,5147.0,10149
1994,Genève,63226.0,5440,10623,779,4206,24140,8265.0,9772
1994,Glaris,14798.0,9,5006,63,1608,3513,2336.0,2263
1994,Grisons,195564.0,28694,67546,4472,29473,49455,5966.0,9958
1994,Jura,22143.0,6588,2026,1071,1664,6710,1144.0,2940
1994,Lucerne,66472.0,0,21500,7735,3965,9820,15099.0,8354
1994,Neuchâtel,107991.0,67259,4049,2219,4227,16044,5158.0,9035
1994,Nidwald,7941.0,1352,871,106,1221,2170,445.0,1777
1994,Obwald,4959.0,0,687,0,826,1589,396.0,1461
1994,Région lémanique,323508.0,23686,87082,7795,30172,108048,25647.0,41078
1994,Schaffhouse,7701.0,103,1056,-17,323,2697,1549.0,1989
1994,Schwytz,27276.0,3177,10315,281,2228,6675,1344.0,3257
1994,Soleure,41819.0,31,20588,1009,1509,12599,1745.0,4337
1994,St. Gall,81012.0,0,39137,1908,12489,19014,1295.0,7169
1994,Suisse centrale,391618.0,30635,157066,7573,54703,96293,15749.0,29597
1994,Suisse du Nord-Ouest,288612.0,16079,126330,5079,27454,77045,8984.0,27641
1994,Tessin,218586.0,0,135276,13108,11713,42415,12577.0,3497
1994,Thurgovie,56963.0,1341,27092,1193,7749,12801,2011.0,4776
1994,Total,1907803.0,167137,678401,50909,193943,512424,109524.0,195466
1994,Uri,38102.0,0,19245,66,2945,12872,581.0,2394
1994,Valais,139031.0,0,55817,3499,19700,40537,6766.0,12713
1994,Vaud,121251.0,18246,20642,3517,6266,43371,10616.0,18593
1994,Zentralschweiz,176670.0,12239,56747,8391,13845,39526,25854.0,20072
1994,Zoug,31920.0,7710,4129,203,2660,6400,7989.0,2829
1994,Zurich,116326.0,1178,25769,4021,11120,51976,5796.0,16466
1995,Appenzell Rh.-Ext.,32061.0,0,16748,1192,2428,7206,1582.0,2905
1995,Appenzell Rh.-Int.,4552.0,283,1318,0,199,1620,529.0,603
1995,Argovie,94320.0,14298,42080,-776,6445,22643,3760.0,5870
1995,Berne,183385.0,2478,33921,0,26539,74508,13531.0,32408
1995,Bâle-Campagne,107226.0,0,65347,692,12625,14871,3943.0,9748
1995,Bâle-Ville,98615.0,270,32580,86,8716,41885,2010.0,13068
1995,Espace Mittelland,342643.0,27104,65743,3239,36291,123083,26271.0,60912
1995,Fribourg,51685.0,5211,12497,841,3442,14204,4907.0,10583
1995,Genève,43253.0,1614,5125,270,1580,17857,6838.0,9969
1995,Glaris,17334.0,0,6748,6,1773,3113,3138.0,2556
1995,Grisons,189012.0,0,97759,3044,29663,43274,4824.0,10448
1995,Jura,22076.0,5460,1550,898,2546,6606,1219.0,3797
1995,Lucerne,71492.0,0,30889,4221,4125,17878,4077.0,10303
1995,Neuchâtel,48424.0,13927,2037,840,2746,15910,5112.0,7852
1995,Nidwald,13766.0,0,5274,249,1150,4914,406.0,1773
1995,Obwald,5265.0,0,584,105,1354,1454,356.0,1412
1995,Région lémanique,309159.0,25110,74978,8524,21220,110776,23867.0,44684
1995,Schaffhouse,8729.0,93,435,-32,405,4097,1539.0,2192
1995,Schwytz,31742.0,0,15003,963,2897,7323,2196.0,3360
1995,Soleure,37073.0,28,15738,660,1018,11855,1502.0,6272
1995,St. Gall,72173.0,0,24503,1292,16555,19609,2382.0,7833
1995,Suisse centrale,381360.0,1378,171754,6060,59102,95200,15986.0,31881
1995,Suisse du Nord-Ouest,300161.0,14568,140007,2,27786,79399,9713.0,28686
1995,Tessin,266582.0,0,155876,47349,13114,39958,6788.0,3497
1995,Thurgovie,57499.0,1002,24243,558,8079,16281,1992.0,5344
1995,Total,1900016.0,80894,702294,73414,184285,551111,99461.0,208565
1995,Uri,29100.0,0,12517,142,3400,8735,1796.0,2509
1995,Valais,111767.0,0,25015,6670,11096,46685,6168.0,16133
1995,Vaud,154139.0,23496,44838,1584,8544,46234,10861.0,18582
1995,Zentralschweiz,179790.0,6525,72945,5730,13606,46918,11660.0,22406
1995,Zoug,28425.0,6525,8678,50,680,6614,2829.0,3049
1995,Zurich,120323.0,6207,20989,2510,13164,55777,5176.0,16499
1996,Appenzell Rh.-Ext.,26539.0,0,11901,402,2447,7400,1546.0,2843
1996,Appenzell Rh.-Int.,5106.0,387,1913,27,177,1558,523.0,523
