annee,canton,Total,Constructions,Améliorations,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere,Depense_habitants
1994,Appenzell Rh.-Ext.,13832.0,12,2344,74,1860,8949,593.0,0,256
1994,Appenzell Rh.-Int.,3530.0,98,1408,9,443,1316,167.0,88,246
1994,Argovie,97834.0,2824,27572,1533,13132,41778,6707.0,4288,188
1994,Berne,282785.0,1247,54929,3422,33165,138187,22126.0,29709,297
1994,Bâle-Campagne,61547.0,2108,15652,368,3945,33081,5754.0,639,247
1994,Bâle-Ville   2),5625.0,52,1110,24,456,3256,728.0,0,266
1994,Espace Mittelland,476041.0,11141,113641,7299,51502,220460,32591.0,39407,290
1994,Fribourg,54708.0,285,21841,665,6281,21469,3343.0,823,245
1994,Genève,135230.0,8067,28768,502,14844,64337,3047.0,15665,345
1994,Glaris,7193.0,37,1982,97,897,3853,326.0,0,186
1994,Grisons,89179.0,993,22712,1325,10845,46677,3186.0,3440,475
1994,Jura,20847.0,3752,6461,28,1380,7138,979.0,1109,309
1994,Lucerne,76808.0,2513,21495,488,11100,31400,4955.0,4856,228
1994,Neuchâtel,53021.0,403,7150,28,4763,31010,3458.0,6210,319
1994,Nidwald,8082.0,0,1450,105,416,5847,264.0,0,231
1994,Obwald,10197.0,34,3282,233,2187,3916,513.0,31,329
1994,Région lémanique,439427.0,25261,105086,5447,44664,203642,18541.0,36786,349
1994,Saint-Gall,160502.0,5459,49100,3881,28291,62442,8359.0,2970,365
1994,Schaffhouse,22564.0,131,7250,302,2654,8557,1139.0,2532,307
1994,Schwytz,29888.0,1151,10563,255,4733,11446,1709.0,32,250
1994,Soleure,64680.0,5454,23260,3156,5913,22656,2685.0,1556,274
1994,Suisse centrale,147403.0,4330,41217,1418,21632,63916,8578.0,6311,227
1994,Suisse du Nord-Ouest,165006.0,4984,44334,1925,17533,78115,13189.0,4927,209
1994,Suisse orientale,355574.0,7877,109144,8063,54352,149636,16917.0,9584,344
1994,Tessin,89310.0,11714,14115,2202,9538,39450,4881.0,7410,316
1994,Thurgovie,58774.0,1147,24348,2375,9362,17842,3147.0,554,266
1994,Total,2051175.0,75792,517373,33718,223686,930657,122499.0,147453,300
1994,Uri,3115.0,45,699,42,580,1526,222.0,0,89
1994,Valais,93699.0,10183,20377,3822,8882,40457,6692.0,3286,368
1994,Vaud,210498.0,7011,55941,1123,20938,98848,8802.0,17835,345
1994,Zoug,19313.0,587,3728,295,2616,9781,915.0,1392,215
1994,Zurich,378414.0,10483,89836,7364,24466,175438,27800.0,43028,320
1995,Appenzell Rh.-Ext.,12411.0,12,2035,62,1936,7708,658.0,0,230
1995,Appenzell Rh.-Int.,3866.0,142,1292,170,452,1515,182.0,112,269
1995,Argovie,81181.0,2354,25004,1542,10878,32960,5277.0,3166,155
1995,Berne,283955.0,2556,54519,2840,32087,136582,23852.0,31519,298
1995,Bâle-Campagne,66690.0,2284,15348,1132,5501,35697,5973.0,757,267
1995,Bâle-Ville   2),4966.0,0,843,78,331,3034,680.0,0,232
1995,Espace Mittelland,485716.0,18312,105418,10031,50538,225143,34784.0,41490,294
1995,Fribourg,66914.0,6744,24358,1783,5693,24403,3271.0,662,296
1995,Genève,129194.0,8505,21725,2469,13726,66442,2972.0,13357,326
1995,Glaris,7346.0,361,2357,103,837,3416,272.0,0,190
1995,Grisons,74499.0,447,16762,1490,10057,39485,3278.0,2980,394
1995,Jura,13816.0,961,2127,39,1150,7518,985.0,1036,204
1995,Lucerne,87605.0,2453,25843,6045,11038,32151,4993.0,5081,258
1995,Neuchâtel,57969.0,2628,6063,261,5302,33118,3901.0,6696,350
1995,Nidwald,5768.0,0,1801,87,547,3070,262.0,0,163
1995,Obwald,10991.0,15,4163,343,1729,4221,487.0,31,351
1995,Région lémanique,409581.0,18268,74288,4487,45536,215761,16605.0,34639,323
1995,Saint-Gall,165730.0,6961,49719,3646,27180,66292,8121.0,3812,375
1995,Schaffhouse,22490.0,285,5536,239,1763,10723,1600.0,2344,305
1995,Schwytz,24946.0,398,4785,134,5192,12497,1905.0,35,206
1995,Soleure,63062.0,5423,18351,5108,6306,23522,2775.0,1577,266
1995,Suisse centrale,153235.0,4908,40704,6978,22179,63102,8760.0,6600,234
1995,Suisse du Nord-Ouest,152837.0,4638,41195,2752,16710,71691,11930.0,3923,192
1995,Suisse orientale,344578.0,12750,99423,7224,49097,148532,17722.0,9830,330
1995,Tessin,79008.0,8612,11693,3476,7269,36185,4266.0,7506,276
1995,Thurgovie,58236.0,4542,21722,1514,6872,19393,3611.0,582,252
1995,Total,1993235.0,76697,452640,41209,219686,932401,120583.0,150023,290
1995,Uri,3349.0,386,545,125,467,1607,219.0,0,95
