annee,canton,Acquisition,Administration,Améliorations,Constructions,Entretien Construction,Entretien Exploitation,Surveillance Policiere,Total
1994,Appenzell Rh.-Ext.,0,0.0,0,0,0,0,0,0
1994,Appenzell Rh.-Int.,0,0.0,0,0,0,0,0,0
1994,Argovie,5693,457.0,4301,111017,18062,4466,6955,150952
1994,Berne,36193,1183.0,14600,174891,11628,9233,10687,258415
1994,Bâle-Campagne,0,909.0,5630,12407,17669,4286,3491,44392
1994,Bâle-Ville,33761,363.0,0,23991,3478,1988,2093,65673
1994,Espace Mittelland,61170,3013.0,20723,610194,46895,19567,23565,785130
1994,Fribourg,7925,689.0,1187,85964,16491,4324,5553,122134
1994,Genève,7248,1216.0,0,139739,3559,2277,3895,157934
1994,Glaris,0,326.0,695,94,528,1873,1132,4648
1994,Grisons,531,1911.0,5195,56486,21485,11680,9094,106382
1994,Jura,4679,0.0,0,219709,99,0,655,225143
1994,Lucerne,20828,814.0,3242,16992,5126,4969,5275,57247
1994,Neuchâtel,11045,637.0,397,99426,5955,3112,2547,123121
1994,Nidwald,230,520.0,582,7257,1810,3536,1698,15633
1994,Obwald,-162,314.0,0,56570,1557,1096,2274,61648
1994,Région lémanique,64437,4607.0,2203,485492,43903,20409,25885,646936
1994,Saint-Gall,826,1367.0,53,24973,7559,10125,8218,53122
1994,Schaffhouse,-15,63.0,0,56544,1099,575,119,58384
1994,Schwytz,0,685.0,72,5141,3223,3137,2330,14589
1994,Soleure,1328,504.0,4539,30204,12722,2898,4123,56317
1994,Suisse centrale,20897,4825.0,6423,96205,36130,25518,19039,209037
1994,Suisse du Nord-Ouest,39454,1729.0,9931,147415,39209,10740,12539,261017
1994,Suisse orientale,2367,4012.0,5943,146730,34874,26835,22338,243099
1994,Tessin,4907,3316.0,4282,24271,24929,16821,10671,89197
1994,Thurgovie,1025,345.0,0,8633,4203,2582,3775,20563
1994,Total,198422,23317.0,50978,1596020,242343,129711,127662,2368453
1994,Uri,1,2274.0,2226,8684,21468,11530,5612,51795
1994,Valais,44021,1075.0,99,176676,23965,5688,4064,255588
1994,Vaud,13168,2316.0,2104,169077,16379,12444,17926,233414
1994,Zoug,0,218.0,301,1561,2946,1250,1850,8126
1994,Zurich,5190,1814.0,1473,85713,16402,9820,13625,134037
1995,Appenzell Rh.-Ext.,0,0.0,0,0,0,0,0,0
1995,Appenzell Rh.-Int.,0,0.0,0,0,0,0,0,0
1995,Argovie,226,532.0,4609,120074,21603,5339,6899,159282
1995,Berne,8938,1232.0,12676,168872,6094,11393,10491,219697
1995,Bâle-Campagne,0,1265.0,6605,16384,21766,4132,7944,58097
1995,Bâle-Ville,26621,402.0,0,52863,2708,2290,2126,87010
1995,Espace Mittelland,26094,3214.0,16611,579702,47432,23222,21252,717528
1995,Fribourg,5749,688.0,304,109413,18352,5155,6233,145895
1995,Genève,3043,638.0,0,138268,2725,3049,3970,151693
1995,Glaris,0,283.0,517,55,633,1693,1154,4335
1995,Grisons,697,1741.0,4237,43638,21311,11839,11551,95015
1995,Jura,6722,0.0,0,179894,0,0,0,186616
1995,Lucerne,10577,750.0,3611,18876,2836,5461,5275,47386
1995,Neuchâtel,3360,788.0,284,80914,7765,3720,2025,98856
