annee,canton,Total,Routes nationales,Routes cantonales,Routes communales
1992,Appenzell Rh.-Ext.,434.0,0.0,231.0,203.0
1992,Appenzell Rh.-Int.,139.0,0.0,48.0,91.0
1992,Argovie,5567.7,80.7,1147.0,4340.0
1992,Berne,11732.4,170.4,1952.0,9610.0
1992,Bâle-Campagne,1985.2,30.2,405.0,1550.0
1992,Bâle-Ville,374.7,6.7,307.0,61.0
1992,Espace Mittelland,21087.2,297.2,4071.0,16719.0
1992,Fribourg,3413.4,67.4,628.0,2718.0
1992,Genève,1371.6,15.6,292.0,1064.0
1992,Glaris,412.6,16.6,130.0,266.0
1992,Grisons,3672.3,127.3,1499.0,2046.0
1992,Jura,1626.0,0.0,441.0,1185.0
1992,Lucerne,3230.5,58.5,512.0,2660.0
1992,Neuchâtel,1817.3,26.3,425.0,1366.0
1992,Nidwald,243.8,23.8,80.0,140.0
1992,Obwald,518.7,26.7,72.0,420.0
1992,Région lémanique,13402.5,267.5,4841.0,8294.0
1992,Saint-Gall,2908.2,140.2,620.0,2148.0
1992,Schaffhouse,1610.1,14.1,222.0,1374.0
1992,Schwytz,888.7,49.7,209.0,630.0
1992,Soleure,2498.1,33.1,625.0,1840.0
1992,Suisse centrale,5819.9,243.9,1207.0,4369.0
1992,Suisse du Nord-Ouest,7927.6,117.6,1859.0,5951.0
1992,Suisse orientale,12351.7,336.7,3567.0,8448.0
1992,Tessin,3159.8,136.8,1083.0,1940.0
1992,Thurgovie,3175.5,38.5,817.0,2320.0
1992,Total,71008.5,1514.5,18297.0,51197.0
1992,Uri,368.5,67.5,180.0,121.0
1992,Valais,4367.0,86.0,2250.0,2031.0
1992,Vaud,7663.9,165.9,2299.0,5199.0
1992,Zoug,569.7,17.7,154.0,398.0
1992,Zurich,7259.8,114.8,1669.0,5476.0
1993,Appenzell Rh.-Ext.,433.8,0.0,230.8,203.0
1993,Appenzell Rh.-Int.,139.4,0.0,48.4,91.0
1993,Argovie,5567.0,80.7,1146.3,4340.0
1993,Berne,11745.4,171.4,1964.0,9610.0
1993,Bâle-Campagne,1985.2,30.2,405.0,1550.0
1993,Bâle-Ville,375.0,6.7,307.3,61.0
1993,Espace Mittelland,21097.8,298.2,4080.6,16719.0
1993,Fribourg,3412.9,67.4,627.5,2718.0
1993,Genève,1379.9,23.9,292.0,1064.0
1993,Glaris,412.1,16.6,129.5,266.0
1993,Grisons,3672.4,127.3,1499.1,2046.0
1993,Jura,1625.6,0.0,440.6,1185.0
1993,Lucerne,3230.5,58.5,512.0,2660.0
1993,Neuchâtel,1817.7,26.3,425.4,1366.0
1993,Nidwald,243.8,23.8,80.0,140.0
1993,Obwald,523.9,26.7,77.2,420.0
1993,Région lémanique,13416.6,281.6,4841.0,8294.0
1993,Saint-Gall,2913.2,140.2,625.0,2148.0
1993,Schaffhouse,1610.2,14.1,222.1,1374.0
1993,Schwytz,889.0,49.7,209.3,630.0
1993,Soleure,2496.2,33.1,623.1,1840.0
1993,Suisse centrale,5825.5,243.9,1212.6,4369.0
1993,Suisse du Nord-Ouest,7927.2,117.6,1858.6,5951.0
1993,Suisse orientale,12356.4,336.7,3571.7,8448.0
1993,Tessin,3161.4,136.8,1084.6,1940.0
1993,Thurgovie,3175.3,38.5,816.8,2320.0
1993,Total,71044.9,1529.6,18318.3,51197.0
1993,Uri,368.5,67.5,180.0,121.0
1993,Valais,4372.8,91.8,2250.0,2031.0
1993,Vaud,7663.9,165.9,2299.0,5199.0
1993,Zoug,569.8,17.7,154.1,398.0
1993,Zurich,7260.0,114.8,1669.2,5476.0
1994,Appenzell Rh.-Ext.,433.8,0.0,230.8,203.0
1994,Appenzell Rh.-Int.,139.4,0.0,48.4,91.0
1994,Argovie,5566.9,80.7,1146.2,4340.0
1994,Berne,11781.5,174.5,1997.0,9610.0
1994,Bâle-Campagne,2052.2,30.2,472.0,1550.0
1994,Bâle-Ville,375.0,6.7,307.3,61.0
1994,Espace Mittelland,21153.2,301.3,4132.9,16719.0
1994,Fribourg,3412.9,67.4,627.5,2718.0
1994,Genève,1354.9,23.9,267.0,1064.0
1994,Glaris,412.1,16.6,129.5,266.0
1994,Grisons,3676.5,127.3,1503.2,2046.0
1994,Jura,1625.6,0.0,440.6,1185.0
1994,Lucerne,3230.5,58.5,512.0,2660.0
1994,Neuchâtel,1837.0,26.3,444.7,1366.0
1994,Nidwald,238.0,23.8,74.2,140.0
1994,Obwald,516.9,26.7,70.2,420.0
1994,Région lémanique,13393.6,281.6,4818.0,8294.0
1994,Saint-Gall,2913.2,140.2,625.0,2148.0
1994,Schaffhouse,1610.2,14.1,222.1,1374.0
1994,Schwytz,889.0,49.7,209.3,630.0
1994,Soleure,2496.2,33.1,623.1,1840.0
1994,Suisse centrale,5803.6,243.9,1190.7,4369.0
1994,Suisse du Nord-Ouest,7994.1,117.6,1925.5,5951.0
1994,Suisse orientale,12360.5,336.7,3575.8,8448.0
1994,Tessin,3139.3,136.8,1062.5,1940.0
1994,Thurgovie,3175.3,38.5,816.8,2320.0
1994,Total,71056.1,1532.7,18326.4,51197.0
1994,Uri,368.5,67.5,180.0,121.0
1994,Valais,4372.8,91.8,2250.0,2031.0
1994,Vaud,7665.9,165.9,2301.0,5199.0
1994,Zoug,560.7,17.7,145.0,398.0
1994,Zurich,7211.8,114.8,1621.0,5476.0
1995,Appenzell Rh.-Ext.,434.0,0.0,231.0,203.0
1995,Appenzell Rh.-Int.,139.0,0.0,48.0,91.0
1995,Argovie,5566.7,80.7,1146.0,4340.0
1995,Berne,11871.1,176.1,2085.0,9610.0
1995,Bâle-Campagne,2052.2,30.2,472.0,1550.0
1995,Bâle-Ville,374.7,6.7,307.0,61.0
1995,Espace Mittelland,21246.9,306.9,4221.0,16719.0
1995,Fribourg,3412.4,67.4,627.0,2718.0
1995,Genève,1354.9,23.9,267.0,1064.0
1995,Glaris,412.6,16.6,130.0,266.0
1995,Grisons,3676.3,127.3,1503.0,2046.0
1995,Jura,1626.0,0.0,441.0,1185.0
1995,Lucerne,3230.5,58.5,512.0,2660.0
1995,Neuchâtel,1841.3,30.3,445.0,1366.0
1995,Nidwald,237.8,23.8,74.0,140.0
1995,Obwald,521.7,26.7,75.0,420.0
1995,Région lémanique,13168.4,283.4,4591.0,8294.0
1995,Saint-Gall,2913.2,140.2,625.0,2148.0
1995,Schaffhouse,1610.1,14.1,222.0,1374.0
1995,Schwytz,888.7,49.7,209.0,630.0
1995,Soleure,2496.1,33.1,623.0,1840.0
1995,Suisse centrale,5807.9,243.9,1195.0,4369.0
1995,Suisse du Nord-Ouest,7993.6,117.6,1925.0,5951.0
1995,Suisse orientale,12360.7,336.7,3576.0,8448.0
1995,Tessin,3137.8,136.8,1061.0,1940.0
1995,Thurgovie,3175.5,38.5,817.0,2320.0
1995,Total,70975.1,1540.1,18238.0,51197.0
1995,Uri,368.5,67.5,180.0,121.0
1995,Valais,4145.8,91.8,2023.0,2031.0
1995,Vaud,7667.7,167.7,2301.0,5199.0
1995,Zoug,560.7,17.7,145.0,398.0
1995,Zurich,7259.8,114.8,1669.0,5476.0
1996,Appenzell Rh.-Ext.,432.0,0.0,229.0,203.0
1996,Appenzell Rh.-Int.,139.0,0.0,48.0,91.0
1996,Argovie,5588.3,99.3,1149.0,4340.0
1996,Berne,11872.3,177.3,2085.0,9610.0
1996,Bâle-Campagne,2052.2,30.2,472.0,1550.0
1996,Bâle-Ville,374.7,6.7,307.0,61.0
1996,Espace Mittelland,21248.0,309.0,4220.0,16719.0
1996,Fribourg,3411.3,68.3,625.0,2718.0
1996,Genève,1354.9,23.9,267.0,1064.0
1996,Glaris,407.6,16.6,125.0,266.0
1996,Grisons,3677.5,128.5,1503.0,2046.0
1996,Jura,1627.0,0.0,442.0,1185.0
1996,Lucerne,3230.5,58.5,512.0,2660.0
1996,Neuchâtel,1841.3,30.3,445.0,1366.0
1996,Nidwald,237.8,23.8,74.0,140.0
1996,Obwald,516.7,26.7,70.0,420.0
1996,Région lémanique,13190.3,305.3,4591.0,8294.0
1996,Saint-Gall,2913.2,140.2,625.0,2148.0
1996,Schaffhouse,1612.2,17.2,221.0,1374.0
