,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Age - Total,Sexe - Total,6943095,6988858,7036852,7080948,7105446,7113373,7131888,7166738,7209042,7285214,7342981,7405051,7454112,7501255,7557609,7618599,7711056,7801278,7877571
1,Age - Total,Homme,3409670,3426199,3447614,3467945,3477147,3478179,3486789,3505087,3527033,3569257,3599446,3632015,3657517,3682520,3714697,3748587,3798705,3846081,3885339
2,Age - Total,Femme,3533425,3562659,3589238,3613003,3628299,3635194,3645099,3661651,3682009,3715957,3743535,3773036,3796595,3818735,3842912,3870012,3912351,3955197,3992232
3,0 ans,Sexe - Total,85590,84331,82437,81806,81982,81207,78972,77971,77755,74745,71924,71769,72223,72690,72798,73585,75354,77081,78858
4,0 ans,Homme,43836,43172,42277,41909,42038,41687,40469,40003,39980,38427,37000,36913,37014,37295,37470,37793,38757,39777,40557
5,0 ans,Femme,41754,41159,40160,39897,39944,39520,38503,37968,37775,36318,34924,34856,35209,35395,35328,35792,36597,37304,38301
6,1 an,Sexe - Total,84265,85630,84586,82821,82060,81982,81133,79393,78649,72780,72336,72451,72117,72381,73021,73022,74293,76208,77826
7,1 an,Homme,43230,43911,43328,42489,42030,42030,41612,40656,40346,37472,37229,37320,37109,37122,37477,37608,38171,39169,40165
8,1 an,Femme,41035,41719,41258,40332,40030,39952,39521,38737,38303,35308,35107,35131,35008,35259,35544,35414,36122,37039,37661
9,2 ans,Sexe - Total,82835,85281,86347,85120,83076,81963,81783,81172,79627,77542,74481,73041,73134,72604,72876,73702,74341,75451,77178
10,2 ans,Homme,42427,43809,44319,43661,42672,42011,41930,41679,40833,39747,38294,37591,37670,37362,37375,37823,38275,38754,39692
11,2 ans,Femme,40408,41472,42028,41459,40404,39952,39853,39493,38794,37795,36187,35450,35464,35242,35501,35879,36066,36697,37486
12,3 ans,Sexe - Total,81802,83844,86178,87026,85445,83035,81896,81897,81377,78709,76958,75112,73575,73502,72994,73381,74807,75184,76184
13,3 ans,Homme,41941,43006,44307,44687,43837,42702,42003,41994,41780,40315,39468,38655,37922,37900,37565,37659,38443,38717,39122
14,3 ans,Femme,39861,40838,41871,42339,41608,40333,39893,39903,39597,38394,37490,36457,35653,35602,35429,35722,36364,36467,37062
15,4 ans,Sexe - Total,80352,82726,84634,86803,87316,85379,82937,81977,82045,80628,78466,77514,75648,74005,73893,73508,74450,75640,75878
16,4 ans,Homme,41151,42472,43480,44673,44836,43834,42689,42086,42101,41411,40214,39788,38957,38140,38108,37842,38223,38908,39119
17,4 ans,Femme,39201,40254,41154,42130,42480,41545,40248,39891,39944,39217,38252,37726,36691,35865,35785,35666,36227,36732,36759
18,5 ans,Sexe - Total,79117,81472,83718,85433,86984,86934,84885,82506,81477,81234,80578,79062,78122,76088,74408,74384,74534,75252,76407
19,5 ans,Homme,40414,41753,42987,43888,44776,44654,43597,42493,41870,41647,41372,40590,40146,39202,38385,38393,38361,38626,39327
20,5 ans,Femme,38703,39719,40731,41545,42208,42280,41288,40013,39607,39587,39206,38472,37976,36886,36023,35991,36173,36626,37080
21,6 ans,Sexe - Total,78791,80090,82289,84364,85679,86927,86959,85122,82745,81404,81655,81080,79494,78426,76462,74842,75327,75294,75940
22,6 ans,Homme,40124,40942,42173,43342,44034,44786,44727,43795,42642,41739,41884,41662,40834,40319,39403,38643,38897,38750,38973
23,6 ans,Femme,38667,39148,40116,41022,41645,42141,42232,41327,40103,39665,39771,39418,38660,38107,37059,36199,36430,36544,36967
24,7 ans,Sexe - Total,78494,79759,80829,82872,84664,85657,86990,87300,85405,82972,82111,82136,81600,79865,78824,76976,75871,76079,75938
25,7 ans,Homme,40195,40648,41356,42495,43502,44062,44828,44938,43954,42633,42132,42180,41969,41047,40519,39664,39191,39286,39095
26,7 ans,Femme,38299,39111,39473,40377,41162,41595,42162,42362,41451,40339,39979,39956,39631,38818,38305,37312,36680,36793,36843
27,8 ans,Sexe - Total,78034,79415,80577,81463,83323,84877,85827,87344,87629,85452,83464,82656,82565,81924,80246,79285,77953,76628,76723
28,8 ans,Homme,40198,40694,41104,41704,42747,43623,44181,45049,45098,43714,42801,42406,42397,42118,41231,40740,40168,39561,39631
29,8 ans,Femme,37836,38721,39473,39759,40576,41254,41646,42295,42531,41738,40663,40250,40168,39806,39015,38545,37785,37067,37092
30,9 ans,Sexe - Total,78113,79047,80253,81234,81921,83454,85045,86255,87765,87484,85905,84018,83160,82963,82345,80703,80272,78763,77296
