,canton,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Suisse,Sexe - Total,6943095,6988858,7036852,7080948,7105446,7113373,7131888,7166738,7209042,7285214,7342981,7405051,7454112,7501255,7557609,7618599,7711056,7801278,7877571
1,Suisse,Homme,3409670,3426199,3447614,3467945,3477147,3478179,3486789,3505087,3527033,3569257,3599446,3632015,3657517,3682520,3714697,3748587,3798705,3846081,3885339
2,Suisse,Femme,3533425,3562659,3589238,3613003,3628299,3635194,3645099,3661651,3682009,3715957,3743535,3773036,3796595,3818735,3842912,3870012,3912351,3955197,3992232
3,Zürich,Sexe - Total,1174693,1176983,1181254,1187854,1194146,1197445,1201184,1209530,1222210,1242020,1257924,1271011,1281018,1292481,1306603,1322842,1347351,1366821,1383661
4,Zürich,Homme,575827,575763,577958,581282,584345,586210,588266,593033,600107,610612,618978,625728,630860,636885,644920,653787,667417,677726,686350
5,Zürich,Femme,598866,601220,603296,606572,609801,611235,612918,616497,622103,631408,638946,645283,650158,655596,661683,669055,679934,689095,697311
6,Bern / Berne,Sexe - Total,964944,966049,951669,951804,950662,947632,947369,949795,950609,952877,955428,958646,961647,963657,966743,969907,974591,979554,983453
7,Bern / Berne,Homme,471108,470760,463295,463114,462174,460482,460404,461677,461901,463125,464575,466220,468024,469229,471252,473354,475806,478273,480204
8,Bern / Berne,Femme,493836,495289,488374,488690,488488,487150,486965,488118,488708,489752,490853,492426,493623,494428,495491,496553,498785,501281,503249
9,Luzern,Sexe - Total,330867,334503,337273,339560,340867,341299,341873,343180,344987,348863,351394,352708,353891,355766,358257,361924,366425,370931,375155
10,Luzern,Homme,164069,165603,166900,167819,168173,168199,168394,168878,169643,171776,173048,173682,174368,175354,176710,178688,181027,183333,185679
11,Luzern,Femme,166798,168900,170373,171741,172694,173100,173479,174302,175344,177087,178346,179026,179523,180412,181547,183236,185398,187598,189476
12,Uri,Sexe - Total,34882,34960,35176,35176,35054,34876,34712,34560,34407,34562,34544,34740,34765,34652,34575,34447,34648,34772,34750
13,Uri,Homme,17666,17642,17747,17730,17659,17517,17397,17280,17209,17353,17351,17517,17581,17548,17540,17478,17616,17706,17665
14,Uri,Femme,17216,17318,17429,17446,17395,17359,17315,17280,17198,17209,17193,17223,17184,17104,17035,16969,17032,17066,17085
15,Schwyz,Sexe - Total,115347,117390,119426,121290,122633,123846,125123,126680,128428,129616,131660,133681,135175,136509,138160,139874,142033,143699,145209
16,Schwyz,Homme,58358,59316,60249,61143,61725,62247,62884,63712,64588,65306,66394,67495,68379,69164,70130,71105,72256,73193,74052
17,Schwyz,Femme,56989,58074,59177,60147,60908,61599,62239,62968,63840,64310,65266,66186,66796,67345,68030,68769,69777,70506,71157
18,Obwalden,Sexe - Total,30387,30836,31041,31323,31423,31550,31780,31952,32169,32484,32769,33015,33050,33078,33405,33785,34137,34667,35202
19,Obwalden,Homme,15525,15754,15824,15892,15921,15912,15976,16083,16219,16300,16453,16584,16582,16615,16815,17009,17159,17455,17793
20,Obwalden,Femme,14862,15082,15217,15431,15502,15638,15804,15869,15950,16184,16316,16431,16468,16463,16590,16776,16978,17212,17409
21,Nidwalden,Sexe - Total,33954,34383,34959,35482,35838,36133,36296,36549,36869,37665,38121,38385,38741,39094,39374,39566,39913,40164,40238
22,Nidwalden,Homme,17359,17517,17790,18059,18209,18303,18369,18479,18618,19102,19373,19505,19688,19907,20114,20219,20394,20497,20514
23,Nidwalden,Femme,16595,16866,17169,17423,17629,17830,17927,18070,18251,18563,18748,18880,19053,19187,19260,19347,19519,19667,19724
24,Glarus,Sexe - Total,38817,38914,39148,39254,39029,38535,38281,38305,38207,38058,38156,38283,38273,38098,38001,38034,38165,38259,38448
25,Glarus,Homme,19363,19385,19457,19506,19387,19067,18925,18943,18902,18844,18932,19023,19009,18933,18905,18971,19052,19100,19326
26,Glarus,Femme,19454,19529,19691,19748,19642,19468,19356,19362,19305,19214,19224,19260,19264,19165,19096,19063,19113,19159,19122
27,Zug,Sexe - Total,86965,88197,89816,91619,93247,94450,95745,97049,98481,100557,101857,103156,104680,106350,107352,108826,110390,111151,111918
28,Zug,Homme,43424,43957,44693,45661,46461,46999,47679,48396,49172,50420,51187,51889,52746,53736,54217,55039,55916,56298,56595
29,Zug,Femme,43541,44240,45123,45958,46786,47451,48066,48653,49309,50137,50670,51267,51934,52614,53135,53787,54474,54853,55323
