,agglo_index,agglo,type_index,type,2011,2012,2013,2014
0,230901.0,Winterthour: ville-centre,2.0,Homicides,0.0,0.0,0.0,2.0
1,230901.0,Winterthour: ville-centre,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.02
2,230901.0,Winterthour: ville-centre,4.0,Vols de voitures,14.0,11.0,5.0,9.0
3,230901.0,Winterthour: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.14,0.11,0.05,0.09
4,230901.0,Winterthour: ville-centre,6.0,Vols par effraction dans les logements,267.0,196.0,256.0,159.0
5,230901.0,Winterthour: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,2.64,1.9,2.45,1.5
6,230901.0,Winterthour: ville-centre,8.0,Personnes tuées dans les accidents de la route,0.0,1.0,2.0,0.0
7,230901.0,Winterthour: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.1,0.19,0.0
8,230901.0,Winterthour: ville-centre,10.0,Blessés graves dans les accidents de la route,19.0,18.0,23.0,19.0
9,230901.0,Winterthour: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,1.88,1.75,2.2,1.8
10,230910.0,Winterthour: ceinture de l'agglomération,2.0,Homicides,0.0,0.0,0.0,0.0
11,230910.0,Winterthour: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.0
12,230910.0,Winterthour: ceinture de l'agglomération,4.0,Vols de voitures,4.0,4.0,3.0,2.0
13,230910.0,Winterthour: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.1,0.1,0.07,0.05
14,230910.0,Winterthour: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,75.0,88.0,93.0,45.0
15,230910.0,Winterthour: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,1.94,2.24,2.28,1.09
16,230910.0,Winterthour: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,0.0,1.0,0.0,0.0
17,230910.0,Winterthour: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.25,0.0,0.0
18,230910.0,Winterthour: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,16.0,22.0,7.0,13.0
19,230910.0,Winterthour: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.15,5.6,1.72,3.15
20,230920.0,Winterthour: agglomération,2.0,Homicides,0.0,0.0,0.0,2.0
21,230920.0,Winterthour: agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.01
22,230920.0,Winterthour: agglomération,4.0,Vols de voitures,18.0,15.0,8.0,11.0
23,230920.0,Winterthour: agglomération,5.0,Vols de voitures pour 1000 habitants,0.13,0.11,0.06,0.07
24,230920.0,Winterthour: agglomération,6.0,Vols par effraction dans les logements,342.0,284.0,349.0,204.0
25,230920.0,Winterthour: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,2.45,1.99,2.4,1.39
26,230920.0,Winterthour: agglomération,8.0,Personnes tuées dans les accidents de la route,0.0,2.0,2.0,0.0
27,230920.0,Winterthour: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.14,0.14,0.0
28,230920.0,Winterthour: agglomération,10.0,Blessés graves dans les accidents de la route,35.0,40.0,30.0,32.0
29,230920.0,Winterthour: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,2.5,2.81,2.07,2.18
30,261901.0,Zurich: ville-centre,2.0,Homicides,1.0,2.0,0.0,2.0
31,261901.0,Zurich: ville-centre,3.0,Homicides pour 10'000 habitants,0.03,0.05,0.0,0.01
32,261901.0,Zurich: ville-centre,4.0,Vols de voitures,79.0,84.0,78.0,45.0
33,261901.0,Zurich: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.21,0.22,0.2,0.12
34,261901.0,Zurich: ville-centre,6.0,Vols par effraction dans les logements,1353.0,2190.0,1117.0,1003.0
35,261901.0,Zurich: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,3.63,5.81,2.93,2.61
36,261901.0,Zurich: ville-centre,8.0,Personnes tuées dans les accidents de la route,12.0,6.0,10.0,4.0
37,261901.0,Zurich: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.32,0.16,0.26,0.1
