annee,canton,Total,Total contributions,Total taxes
1994,Appenzell Rh.-Ext.,21915.0,11258.0,10658.0
1994,Appenzell Rh.-Int.,5811.0,2883.0,2928.0
1994,Argovie,264502.0,174185.0,90317.0
1994,Berne,525008.0,301141.0,223868.0
1994,Bâle-Campagne,111611.0,55769.0,55842.0
1994,Bâle-Ville,87268.0,48897.0,38371.0
1994,Espace Mittelland,1294462.0,925051.0,369412.0
1994,Fribourg,194678.0,141591.0,53087.0
1994,Genève,178756.0,116452.0,62304.0
1994,Glaris,18868.0,10988.0,7880.0
1994,Grisons,248005.0,204814.0,43191.0
1994,Jura,253789.0,236635.0,17154.0
1994,Lucerne,128856.0,77979.0,50876.0
1994,Neuchâtel,205650.0,176443.0,29207.0
1994,Nidwald,23466.0,17302.0,6165.0
1994,Obwald,67087.0,62815.0,4272.0
1994,Région lémanique,927808.0,690569.0,237240.0
1994,Saint-Gall,177411.0,87518.0,89892.0
1994,Schaffhouse,58600.0,48999.0,9601.0
1994,Schwytz,46431.0,23708.0,22723.0
1994,Soleure,115337.0,69241.0,46096.0
1994,Suisse centrale,373606.0,267113.0,106493.0
1994,Suisse du Nord-Ouest,463381.0,278851.0,184530.0
1994,Suisse orientale,598101.0,401849.0,196252.0
1994,Tessin,273811.0,198833.0,74979.0
1994,Thurgovie,67491.0,35389.0,32102.0
1994,Total,4314421.0,2913294.0,1401127.0
1994,Uri,82908.0,77545.0,5363.0
1994,Valais,384400.0,348590.0,35810.0
1994,Vaud,364652.0,225527.0,139126.0
1994,Zoug,24858.0,7764.0,17094.0
1994,Zurich,383251.0,151029.0,232222.0
1995,Appenzell Rh.-Ext.,25505.0,14494.0,11011.0
1995,Appenzell Rh.-Int.,6051.0,2962.0,3089.0
1995,Argovie,269823.0,173577.0,96247.0
1995,Berne,502147.0,269224.0,232922.0
1995,Bâle-Campagne,121744.0,62437.0,59307.0
1995,Bâle-Ville,104148.0,62731.0,41417.0
1995,Espace Mittelland,1235444.0,851687.0,383756.0
1995,Fribourg,218134.0,161441.0,56693.0
1995,Genève,173511.0,108955.0,64556.0
1995,Glaris,18492.0,10405.0,8087.0
1995,Grisons,244450.0,195890.0,48561.0
1995,Jura,221315.0,203781.0,17534.0
1995,Lucerne,138811.0,72170.0,66641.0
1995,Neuchâtel,173946.0,143376.0,30570.0
1995,Nidwald,23191.0,16896.0,6295.0
1995,Obwald,55345.0,50510.0,4834.0
1995,Région lémanique,958896.0,691724.0,267173.0
1995,Saint-Gall,166161.0,73483.0,92677.0
1995,Schaffhouse,55974.0,46147.0,9826.0
1995,Schwytz,47447.0,23225.0,24222.0
1995,Soleure,119902.0,73865.0,46037.0
1995,Suisse centrale,387316.0,262515.0,124801.0
1995,Suisse du Nord-Ouest,495715.0,298745.0,196971.0
1995,Suisse orientale,585947.0,379080.0,206866.0
1995,Tessin,274740.0,197173.0,77567.0
1995,Thurgovie,69314.0,35699.0,33615.0
1995,Total,4333952.0,2837864.0,1496088.0
1995,Uri,98371.0,93002.0,5369.0
1995,Valais,373811.0,336179.0,37632.0
