,canton_index,canton,carosserie_index,carosserie,carburant_index,carburant,cylindre_index,cylindre,traction_index,traction,boite_index,boite,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,1.0,Traction avant,1.0,Automatique,2574.0,2708.0,2955.0,3268.0,3464.0,4036.0,4392.0,4906.0,5454.0,5915.0,6537.0,7342.0,7948.0,8587.0,9169.0,9720.0,10111.0,10232.0,9465.0,9462.0,9364.0,9276.0,9375.0,9315.0,9448.0,9474.0,9881.0,10412.0
1,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,1.0,Traction avant,2.0,Manuelle,90018.0,87820.0,86604.0,85511.0,85819.0,86870.0,87240.0,87902.0,89189.0,89595.0,89583.0,89173.0,89084.0,87559.0,86735.0,86567.0,85792.0,86490.0,86546.0,87274.0,91180.0,96187.0,100565.0,105378.0,109020.0,113222.0,115168.0,116336.0
2,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,1.0,Traction avant,9.0,Autres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,21.0,48.0,30.0,127.0,1044.0,1178.0,1328.0,1513.0,1799.0,1986.0,2119.0,2277.0,2437.0,2506.0
3,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,2.0,Traction arrière,1.0,Automatique,802.0,601.0,467.0,374.0,289.0,228.0,169.0,132.0,98.0,74.0,47.0,46.0,43.0,37.0,33.0,34.0,32.0,37.0,35.0,28.0,33.0,51.0,67.0,73.0,85.0,97.0,105.0,102.0
4,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,2.0,Traction arrière,2.0,Manuelle,7455.0,6001.0,4982.0,3950.0,3443.0,3078.0,2636.0,2395.0,2178.0,3065.0,3898.0,4665.0,5325.0,5481.0,5798.0,6127.0,6362.0,6707.0,6771.0,6815.0,7057.0,7180.0,7153.0,7109.0,7062.0,7257.0,7420.0,7637.0
5,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,2.0,Traction arrière,9.0,Autres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,33.0,49.0,60.0,64.0,60.0,62.0,75.0,69.0,72.0
6,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,3.0,4 x 4,1.0,Automatique,460.0,628.0,817.0,902.0,946.0,960.0,943.0,906.0,861.0,816.0,832.0,827.0,804.0,784.0,746.0,688.0,651.0,619.0,611.0,599.0,602.0,596.0,593.0,561.0,536.0,522.0,560.0,714.0
7,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,3.0,4 x 4,2.0,Manuelle,3479.0,3748.0,3943.0,4059.0,4084.0,4057.0,3983.0,3876.0,3645.0,3499.0,3260.0,3073.0,2846.0,2693.0,2569.0,2548.0,2464.0,2408.0,2396.0,2656.0,2882.0,2951.0,2998.0,2978.0,2953.0,2970.0,2976.0,3067.0
8,1.0,Zürich,11.0,Limousine,100.0,Essence,101399.0,jusqu'à 1399 cm3,3.0,4 x 4,9.0,Autres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,42.0,51.0,38.0,33.0,30.0,31.0,29.0,116.0
9,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,1.0,Traction avant,1.0,Automatique,16447.0,16666.0,16668.0,16672.0,16760.0,17067.0,17431.0,17727.0,18324.0,19192.0,19949.0,20695.0,21417.0,21782.0,21982.0,22803.0,23160.0,23375.0,22887.0,22364.0,21833.0,20974.0,20284.0,19307.0,18407.0,17401.0,16481.0,15719.0
10,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,1.0,Traction avant,2.0,Manuelle,90529.0,89919.0,87353.0,84190.0,81933.0,80892.0,79745.0,77439.0,76650.0,76685.0,76361.0,76713.0,76726.0,76194.0,76786.0,78671.0,77394.0,77627.0,74257.0,71033.0,69774.0,68056.0,65703.0,62013.0,58890.0,55504.0,52138.0,48708.0
11,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,1.0,Traction avant,9.0,Autres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,63.0,56.0,101.0,653.0,931.0,1588.0,2275.0,2522.0,2592.0,2658.0,2709.0,2665.0,2607.0
12,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,2.0,Traction arrière,1.0,Automatique,1293.0,1155.0,1090.0,1069.0,1221.0,1342.0,1412.0,1424.0,1418.0,1368.0,1355.0,1311.0,1335.0,1496.0,1715.0,1863.0,1882.0,1875.0,1998.0,2134.0,2192.0,2236.0,2412.0,2574.0,2525.0,2464.0,2434.0,2332.0
13,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,2.0,Traction arrière,2.0,Manuelle,13196.0,11482.0,10209.0,8872.0,8487.0,8278.0,7927.0,7508.0,6975.0,6423.0,5908.0,5561.0,5310.0,5046.0,4958.0,4879.0,4642.0,4507.0,4074.0,3671.0,3549.0,3389.0,3308.0,3218.0,3087.0,2955.0,2823.0,2648.0
14,1.0,Zürich,11.0,Limousine,100.0,Essence,101799.0,de 1400 à 1799 cm3,2.0,Traction arrière,9.0,Autres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,5.0,50.0,69.0,94.0,80.0,71.0,69.0,80.0,82.0,83.0,84.0
